Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,0.42027358996827935,1940.1,3,57500.0,3
1940,0.42027358996827935,1940.2,1,47400.0,3
1940,0.42027358996827935,1940.3,3,69600.0,3
1941,0.42080026244420304,1941.0,0,26900.0,0
1942,0.3360688291868331,1942.1,4,54600.0,3
1942,0.3360688291868331,1942.2,2,32600.0,3
1942,0.3360688291868331,1942.3,1,29300.0,3
1943,0.462335512549428,1943.1,4,73800.0,2
1943,0.462335512549428,1943.2,3,73700.0,2
1944,0.3821657254704209,1944.0,0,12400.0,0
1945,0.45101367006369436,1945.1,2,70900.0,3
1945,0.45101367006369436,1945.2,1,32400.0,3
1945,0.45101367006369436,1945.3,1,32200.0,3
1946,0.3744034978528296,1946.0,0,13300.0,0
1947,0.27557195245499144,1947.0,0,20100.0,0
1948,0.4530597241387826,1948.0,0,17600.0,0
1949,0.4754490894417057,1949.0,0,25500.0,0
1950,0.4160681062033288,1950.1,5,132000.0,3
1950,0.4160681062033288,1950.2,2,76400.0,3
1950,0.4160681062033288,1950.3,3,60300.0,3
1951,0.43746026185702924,1951.1,2,39500.0,1
1952,0.5825155750317873,1952.1,1,27700.0,3
1952,0.5825155750317873,1952.2,1,27500.0,3
1952,0.5825155750317873,1952.3,1,30500.0,3
1953,0.30118670764906497,1953.1,1,27600.0,1
1954,0.3006151369804225,1954.1,1,36500.0,1
1955,0.6488958070560857,1955.1,7,69300.0,1
1956,0.366685590959626,1956.1,3,33500.0,1
1957,0.23290634544112965,1957.1,1,28200.0,1
1958,0.584872778729289,1958.1,4,33000.0,2
1958,0.584872778729289,1958.2,2,28300.0,2
1959,0.49125655893010467,1959.0,0,6260.0,0
1960,0.3196645081289266,1960.0,0,5170.0,0
1961,0.2617156831014708,1961.0,0,4540.0,0
1962,0.5351185836384538,1962.0,0,7870.0,0
1963,0.36300256690310106,1963.1,5,74100.0,1
1964,0.5687882525539951,1964.1,7,115000.0,1
1965,0.4658463210491779,1965.1,5,35500.0,1
1966,0.27241815859480845,1966.0,0,22600.0,0
1967,0.3916627960431489,1967.1,3,35900.0,1
1968,0.3050495343112149,1968.0,0,8230.0,0
1969,0.6332835252007942,1969.1,4,67200.0,2
1969,0.6332835252007942,1969.2,4,39900.0,2
1970,0.5491070841213317,1970.1,4,52200.0,2
1970,0.5491070841213317,1970.2,5,50300.0,2
1971,0.32669720001173425,1971.0,0,8240.0,0
1972,0.314554960700695,1972.0,0,5270.0,0
1973,0.4737276929832042,1973.1,3,31900.0,1
1974,0.4833158301866214,1974.0,0,26400.0,0
1975,0.45310929116982124,1975.0,0,8250.0,0
1976,0.19891485424483005,1976.0,0,3070.0,0
1977,0.39995278799776346,1977.0,0,1300.0,0
1978,0.5762956123741206,1978.0,0,15200.0,0
1979,0.3624564804641533,1979.0,0,16000.0,0
1980,0.419798707534211,1980.1,6,80200.0,2
1980,0.419798707534211,1980.2,4,34500.0,2
1981,0.3538058918376783,1981.1,4,36100.0,1
1982,0.47035134011599916,1982.1,3,84200.0,3
1982,0.47035134011599916,1982.2,2,49400.0,3
1982,0.47035134011599916,1982.3,2,34800.0,3
1983,0.5619135016807105,1983.1,4,34400.0,3
1983,0.5619135016807105,1983.2,3,36200.0,3
1983,0.5619135016807105,1983.3,4,47200.0,3
1984,0.37436067371463955,1984.0,0,19600.0,0
1985,0.2967382208451559,1985.0,0,4110.0,0
1986,0.7534118561936309,1986.1,8,131000.0,2
1986,0.7534118561936309,1986.2,3,40900.0,2
1987,0.3071667633417753,1987.0,0,3500.0,0
1988,0.2919066425786092,1988.0,0,4550.0,0
1989,0.36666062543793854,1989.0,0,24400.0,0
